開催日,キックオフ,ホーム,アウェイ,会場,結果,TV中継
3/5,14:00,ＦＣ東京,サガン鳥栖,味の素スタジアム,,スカパー/e2/スカパー光/ひかりTV TOKYO MX
3/12,14:00,ファジアーノ岡山,ＦＣ東京,kankoスタジアム,,スカパー/e2/スカパー光 NHK岡山
3/19,13:00,ＦＣ岐阜,ＦＣ東京,岐阜メモリアルセンター長良川競技場,,スカパー/e2/スカパー光/ひかりTV
3/27,16:00,ＦＣ東京,栃木ＳＣ,味の素スタジアム,,スカパー/e2/スカパー光
4/3,13:00,ＦＣ東京,ギラヴァンツ北九州,味の素スタジアム,,スカパー/e2/スカパー光
4/9,19:00,横浜ＦＣ,ＦＣ東京,ニッパツ三ツ沢球技場,,スカパー/e2/スカパー光/ひかりTV
4/17,13:00,ＦＣ東京,大分トリニータ,味の素スタジアム,,スカパー/e2/スカパー光
4/24,16:00,ジェフユナイテッド千葉,ＦＣ東京,フクダ電子アリーナ,,スカパー/e2/スカパー光/ひかりTV
4/30,13:00,ＦＣ東京,コンサドーレ札幌,味の素スタジアム,,スカパー/e2/スカパー光/ひかりTV
5/4,19:00,東京ヴェルディ,ＦＣ東京,味の素スタジアム,,スカパー/e2/スカパー光/BS
5/8,16:00,ＦＣ東京,カターレ富山,味の素スタジアム,,スカパー/e2/スカパー光
5/14,16:00,ザスパ草津,ＦＣ東京,正田醤油スタジアム群馬,,スカパー/e2/スカパー光 群馬テレビ（録）
5/22,16:00,ＦＣ東京,湘南ベルマーレ,味の素スタジアム,,スカパー/e2/スカパー光
5/28,16:00,京都サンガF.C.,ＦＣ東京,京都市西京極総合運動公園陸上競技場兼球技場,,スカパー/e2/スカパー光 KBS京都（録）
6/5,14:00,ＦＣ東京,愛媛ＦＣ,駒沢陸上競技場,,スカパー/e2/スカパー光
6/12,ＦＣ東京,スカパー/e2/スカパー光
6/19,18:00,ＦＣ東京,徳島ヴォルティス,味の素スタジアム,,スカパー/e2/スカパー光
6/25,16:00,水戸ホーリーホック,ＦＣ東京,ケーズデンキスタジアム水戸,,スカパー/e2/スカパー光/NHK水戸
7/2,18:30,ＦＣ東京,ガイナーレ鳥取,味の素スタジアム,,スカパー/e2/スカパー光
7/9,19:00,大分トリニータ,ＦＣ東京,大分銀行ドーム,,スカパー/e2/スカパー光
7/17,18:30,ＦＣ東京,ＦＣ岐阜,味の素スタジアム,,スカパー/e2/スカパー光
7/24,18:30,ＦＣ東京,ロアッソ熊本,国立競技場,,スカパー/e2/スカパー光
7/30,18:00,ギラヴァンツ北九州,ＦＣ東京,北九州市立本城陸上競技場,,スカパー/e2/スカパー光
8/13,18:30,ＦＣ東京,ザスパ草津,味の素スタジアム,,スカパー/e2/スカパー光
8/21,18:00,栃木ＳＣ,ＦＣ東京,栃木県グリーンスタジアム,,スカパー/e2/スカパー光 とちぎテレビ
8/28,18:00,カターレ富山,ＦＣ東京,富山県総合運動公園陸上競技場,,スカパー/e2/スカパー光
9/10,,ＦＣ東京,京都サンガF.C.,味の素スタジアム,,
9/17,,愛媛ＦＣ,ＦＣ東京,ニンジニアスタジアム,,
9/25,,ＦＣ東京,横浜ＦＣ,国立競技場,,
10/2,,徳島ヴォルティス,ＦＣ東京,鳴門･大塚スポーツパークポカリスエットスタジアム,,
10/16,,ＦＣ東京,ファジアーノ岡山,味の素スタジアム,,
10/23,,サガン鳥栖,ＦＣ東京,ベストアメニティスタジアム,,
10/30,,ＦＣ東京,東京ヴェルディ,味の素スタジアム,,
11/6,,湘南ベルマーレ,ＦＣ東京,平塚競技場,,
11/12,,ＦＣ東京,水戸ホーリーホック,味の素スタジアム,,
11/19,,ガイナーレ鳥取,ＦＣ東京,とりぎんバードスタジアム,,
11/26,,ＦＣ東京,ジェフユナイテッド千葉,味の素スタジアム,,
12/3,,コンサドーレ札幌,ＦＣ東京,札幌ドーム,,
